"","island","cover_type","Kfs","notes","sheet","source"
"243","Hawaii","forests",141.0065405,"Young","d02f9cd8-af23-4a2b-a29e-fee67bf5ebe8","Fortini_2017"
"244","Hawaii","forests",0.163034821,"Young","35243b0f-da8c-49c6-a601-a6eb4382ac27","Fortini_2017"
"245","Hawaii","forests",212.1702029,"Young","85ceea18-41b9-4267-bccc-48ae261dc0c9","Fortini_2017"
"246","Hawaii","forests",0,"Young","091108fe-1992-402f-bc95-5b8167f68c63","Fortini_2017"
"247","Hawaii","forests",568.9260127,"Young","0ab1bd68-475a-49bf-9eb6-378156ca11f2","Fortini_2017"
"248","Hawaii","forests",2.049773396,"Young","c0944b6b-92b1-496e-91c3-f831206071e0","Fortini_2017"
"249","Hawaii","forests",0.76235021,"Young","ee83fdb8-ea11-4b60-9370-faeb526fbec5","Fortini_2017"
"250","Hawaii","forests",141.7109671,"Young","77c0ddba-7e11-4726-a385-786ca956f7d0","Fortini_2017"
"251","Hawaii","forests",2.049538522,"Young","1f0e33a3-1fd9-4e59-bc04-7bb80be1cbf9","Fortini_2017"
"252","Hawaii","forests",82.19206579,"Young","bec3c51b-eee9-4365-85d7-97c2afe77237","Fortini_2017"
"253","Hawaii","forests",405.1422459,"Young","148cb985-21a1-4ebb-8ab1-f19ba29a1610","Fortini_2017"
"254","Hawaii","forests",99.05137331,"Young","acd0a6e4-94a9-4171-b06d-b2b4ca9b8afd","Fortini_2017"
"255","Hawaii","forests",448.9386234,"Young","2e5b32b8-60e2-45eb-b98a-11fd81ed2bf6","Fortini_2017"
"256","Hawaii","forests",678.2163748,"Young","1aea8392-5a62-4191-a1d2-89ef26e01fad","Fortini_2017"
"257","Hawaii","forests",0.287408224,"Young","65981170-4039-490c-8536-f02817662d74","Fortini_2017"
"258","Hawaii","forests",354.7337057,"Young","2d8e8222-b693-441e-9a76-ac5269241b3a","Fortini_2017"
"259","Hawaii","forests",1.872273732,"Young","1ad33106-6f5d-4392-a2e3-3355ea8a5bec","Fortini_2017"
"260","Hawaii","forests",254.5625378,"Young","ef832c12-84ca-42a9-a445-47ac9127977e","Fortini_2017"
"261","Hawaii","forests",254.2477119,"Young","9f307cb8-8cb7-4c80-be31-11909e81ee1d","Fortini_2017"
"262","Hawaii","forests",6004.225851,"Young","e6c597d5-be60-44eb-ba4b-39b37affffa0","Fortini_2017"
"263","Hawaii","forests",0.748406598,"Young","9cb3a8b5-cadf-44e9-99da-75cc7a02352a","Fortini_2017"
"264","Hawaii","forests",0.126781235,"Young","7e1ee0d3-dc81-4c79-bd0c-b9ce7ec070bf","Fortini_2017"
"265","Hawaii","forests",66.67118805,"Young","daade129-3a95-4aa5-8460-4bc9521d9b3e","Fortini_2017"
"266","Hawaii","forests",0.65622548,"Young","9c5a43d7-d5a3-4cff-a185-d9dbb7b9b36d","Fortini_2017"
"267","Hawaii","forests",101.9666309,"Young","c4e4479d-4f13-4e80-a58e-7dd1af5cb36f","Fortini_2017"
"268","Hawaii","forests",1.280039235,"Young","bf0db5ab-3721-427d-8abf-36728044083e","Fortini_2017"
"269","Hawaii","forests",44.81063259,"Young","b4613834-7e85-4e66-8582-24a82e7d8aa1","Fortini_2017"
"270","Hawaii","forests",145.4126617,"Young","d23233d6-d76c-46a6-8922-2a3f7188554a","Fortini_2017"
"271","Hawaii","forests",26.08329622,"Young","d37f6a37-a4c6-4c54-a08e-2307ee0d9e25","Fortini_2017"
"272","Hawaii","forests",81.75881829,"Young","b274e1c8-e2ab-4962-ba11-8038802ad3d8","Fortini_2017"
"273","Hawaii","forests",120.3233036,"Young","0b1be0a8-7244-46c0-a121-7e0240c9c0d5","Fortini_2017"
"274","Hawaii","forests",2.28156125,"Young","7fbf9389-9ea4-4b1a-aedb-38f67d0cdc0f","Fortini_2017"
"275","Hawaii","forests",7.323471844,"Young","7c088439-7736-464b-9dee-8c37a1e78332","Fortini_2017"
